Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
93657,0,0.758978301,37,0,0.8648861990000001,7600.0,13,0,2,0,2.0
148133,0,0.46595141100000004,74,0,0.32931137899999996,15000.0,23,0,2,0,0.0
141894,0,0.283707735,32,0,1853.0,,6,0,3,0,0.0
87261,0,0.418385585,44,1,0.46230753799999996,5000.0,7,0,1,0,2.0
134935,0,0.24710116,29,0,0.39360639399999997,1000.0,4,0,0,0,0.0
139743,0,0.561443856,41,0,0.422593034,7550.0,12,0,3,0,3.0
3937,0,0.062240866,54,0,0.299470053,10000.0,7,0,1,0,2.0
49308,0,0.78033027,80,0,0.551654458,7917.0,10,0,2,0,0.0
120335,0,0.032439511000000004,77,0,32.0,,3,0,0,0,0.0
60569,0,1.006841205,45,0,1.508994004,1500.0,2,0,1,0,0.0
140495,1,0.502339612,45,0,0.670501411,4606.0,11,0,1,0,0.0
42086,1,0.9464874329999999,66,5,0.698974359,7799.0,20,0,2,0,2.0
20255,0,0.15051205,45,0,0.293842817,5992.0,9,0,1,0,3.0
80306,0,0.016974314,77,0,50.0,,5,0,0,0,0.0
49541,0,0.128492243,33,1,0.202051481,5166.0,6,0,0,0,0.0
13026,1,0.865891764,50,6,0.772233878,10962.0,8,3,1,2,4.0
74800,0,0.9999998999999999,33,0,0.11093502400000001,4416.0,2,0,0,0,0.0
79740,0,0.11345503900000001,63,0,2825.0,,17,0,1,0,2.0
88295,1,0.9999998999999999,46,0,232.0,,1,1,1,1,0.0
57927,1,1.282392027,25,1,0.22109459899999998,2758.0,4,2,0,1,2.0
128758,0,0.467641466,35,0,0.750405186,1850.0,4,0,1,0,0.0
4387,0,0.027963874,84,0,0.00879824,5000.0,4,0,0,0,0.0
142381,0,0.094113236,29,0,0.46484505200000004,3000.0,7,0,0,0,0.0
60038,0,0.186010375,54,0,241.0,,9,0,0,0,0.0
21950,0,0.9950984409999999,65,0,0.21091432899999998,11800.0,9,0,0,0,0.0
146080,0,0.082504198,47,0,0.252993838,8600.0,7,0,1,0,3.0
18319,0,0.0021155320000000003,43,0,25.0,1.0,19,0,0,0,3.0
31023,0,0.517435321,65,0,0.010781671000000001,11500.0,2,0,0,0,0.0
147779,0,0.154613581,89,0,0.24538143899999998,4600.0,10,0,2,0,0.0
60937,0,0.8449528940000001,36,2,0.220696938,6628.0,4,0,1,1,0.0
142064,0,0.424738689,66,3,2.886965231,6988.0,19,0,1,0,0.0
109751,0,0.092295385,55,0,0.620952097,6700.0,5,0,2,0,0.0
