SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,effort,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.062053875,68,0,"(0.00649, 0.04]",7700.0,13,0,3,0,0.0
1,0.924839097,40,6,"(0.00649, 0.04]",7733.0,24,1,4,2,2.0
0,0.0,47,0,"(0.00134, 0.00214]",2600.0,5,0,0,0,0.0
0,0.019371763,92,0,"(-0.001, 0.000309]",9000.0,5,0,0,0,0.0
0,0.663491064,40,0,"(0.00214, 0.00287]",8200.0,9,0,1,0,2.0
0,0.382803821,81,0,"(0.04, 12.67]",,2,0,0,0,0.0
0,0.073347131,54,0,"(12.67, 3296.64]",,7,0,2,0,2.0
0,0.008167315,59,0,"(0.00649, 0.04]",1115.0,10,0,2,0,0.0
0,0.5457364339999999,49,0,"(0.00367, 0.00468]",12719.0,15,0,2,0,0.0
1,0.99380124,46,3,"(0.00134, 0.00214]",6948.0,8,2,0,0,2.0
0,0.443088369,58,0,"(0.00214, 0.00287]",12500.0,12,0,2,0,0.0
0,0.125239403,58,1,"(0.00214, 0.00287]",29166.0,24,1,3,1,0.0
0,0.061981178,50,0,"(12.67, 3296.64]",,16,0,1,1,0.0
0,0.018025196,81,0,"(0.00367, 0.00468]",6000.0,14,0,1,0,0.0
0,0.111795528,38,0,"(0.04, 12.67]",,1,0,0,0,0.0
1,0.311406328,33,0,"(0.00649, 0.04]",4218.0,5,0,2,0,1.0
0,0.275318005,46,0,"(12.67, 3296.64]",,13,0,2,0,0.0
0,0.6513846560000001,61,0,"(0.00134, 0.00214]",5000.0,7,0,1,0,3.0
0,0.080539542,53,0,"(0.00134, 0.00214]",7200.0,12,0,0,0,3.0
0,0.8552601679999999,26,2,"(0.00468, 0.00649]",1680.0,9,0,0,0,0.0
0,0.883023395,46,1,"(0.00214, 0.00287]",3333.0,4,0,0,0,2.0
0,0.709987322,41,0,"(0.00468, 0.00649]",4500.0,9,0,0,0,2.0
0,0.0,69,0,"(0.00367, 0.00468]",4140.0,8,0,1,0,0.0
0,0.9999999,24,0,"(-0.001, 0.000309]",0.0,2,0,0,0,0.0
0,0.051625495,51,0,"(0.00134, 0.00214]",7500.0,11,0,1,0,0.0
0,0.724271335,53,0,"(0.00468, 0.00649]",6700.0,10,0,1,0,2.0
0,0.234573288,50,0,"(0.00468, 0.00649]",8200.0,12,0,3,0,2.0
0,0.030277064,40,0,"(0.00649, 0.04]",,4,0,0,0,0.0
0,0.004603249,64,0,"(0.00214, 0.00287]",8500.0,26,0,3,0,1.0
0,0.67179093,51,0,"(0.00214, 0.00287]",3333.0,4,0,1,0,2.0
0,0.9999999,29,0,"(0.00367, 0.00468]",3424.0,5,0,1,0,0.0
0,0.016024911,85,0,"(-0.001, 0.000309]",4000.0,3,0,0,0,0.0
0,0.045133102,45,0,"(0.000309, 0.00134]",3055.0,3,0,0,0,0.0
0,0.078493459,66,0,"(-0.001, 0.000309]",2000.0,2,0,0,0,0.0
0,0.9999999,42,0,"(0.00649, 0.04]",2900.0,4,0,2,0,1.0
0,0.9999999,48,1,"(0.00214, 0.00287]",3700.0,4,1,0,0,7.0
0,0.033115252000000005,47,0,"(0.00214, 0.00287]",6499.0,5,0,2,0,0.0
0,0.041191762,87,0,"(-0.001, 0.000309]",1600.0,11,0,0,0,0.0
1,0.9999999,40,1,"(12.67, 3296.64]",,7,1,3,0,
0,0.027297288,63,0,"(0.000309, 0.00134]",5833.0,7,0,1,0,1.0
0,0.049098487,43,0,"(0.00214, 0.00287]",7600.0,12,0,1,0,1.0
0,0.136793641,92,1,"(0.00214, 0.00287]",3972.0,11,0,1,0,1.0
0,0.129568106,36,0,"(0.000309, 0.00134]",3600.0,2,1,0,0,0.0
0,0.848592298,50,0,"(12.67, 3296.64]",,11,0,0,0,0.0
0,0.014515248,77,0,"(-0.001, 0.000309]",5000.0,14,0,0,0,0.0
0,0.051894811,50,0,"(0.04, 12.67]",,1,0,0,0,0.0
0,0.167067451,49,0,"(12.67, 3296.64]",0.0,4,0,1,0,0.0
0,0.0312247,66,0,"(12.67, 3296.64]",,11,0,2,0,0.0
0,0.023223342,86,0,"(-0.001, 0.000309]",4000.0,5,0,0,0,0.0
0,0.9999999,37,0,"(0.00214, 0.00287]",1850.0,2,0,0,0,0.0
0,0.007957401999999999,77,0,"(-0.001, 0.000309]",8000.0,5,0,0,0,0.0
0,0.050044117,60,0,"(0.000309, 0.00134]",2000.0,4,0,0,0,1.0
0,0.470349616,65,2,"(0.00287, 0.00367]",9410.0,19,0,2,0,0.0
0,0.0861449,62,0,"(-0.001, 0.000309]",40000.0,4,0,1,0,1.0
0,0.8884263109999999,47,0,"(0.00649, 0.04]",1050.0,4,0,0,0,2.0
0,0.7113332259999999,54,0,"(0.00287, 0.00367]",8000.0,24,0,1,1,0.0
0,0.525557529,42,1,"(12.67, 3296.64]",,8,0,2,0,0.0
0,0.539433345,54,0,"(12.67, 3296.64]",,20,0,0,0,0.0
0,0.023203608,57,0,"(0.00287, 0.00367]",9250.0,7,0,1,0,1.0
0,0.011798121000000002,53,0,"(0.000309, 0.00134]",6000.0,12,0,1,0,0.0
0,0.197076058,61,0,"(0.00214, 0.00287]",4700.0,7,0,1,0,0.0
0,1.037524997,75,0,"(0.00649, 0.04]",2600.0,7,1,0,0,0.0
