step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
179,'C638223659','4','M','28007','M1823072687','28007','es_transportation',19.08,0
98,'C763253161','3','F','28007','M348934600','28007','es_transportation',3.58,0
165,'C916694479','4','F','28007','M348934600','28007','es_transportation',41.27,0
63,'C656901929','4','M','28007','M855959430','28007','es_hyper',26.15,0
112,'C360019679','3','F','28007','M1053599405','28007','es_health',8.15,0
164,'C1839662768','3','F','28007','M1823072687','28007','es_transportation',46.45,0
92,'C522845009','5','F','28007','M692898500','28007','es_health',111.32,0
164,'C420340345','3','M','28007','M348934600','28007','es_transportation',18.3,0
67,'C358247377','4','M','28007','M348934600','28007','es_transportation',1.27,0
178,'C1887082660','2','M','28007','M1823072687','28007','es_transportation',4.83,0
14,'C1415998962','2','F','28007','M348934600','28007','es_transportation',71.28,0
154,'C948004275','2','M','28007','M85975013','28007','es_food',59.46,0
22,'C1404684380','5','F','28007','M348934600','28007','es_transportation',13.25,0
81,'C282411136','1','M','28007','M1823072687','28007','es_transportation',50.17,0
148,'C196806031','3','F','28007','M348934600','28007','es_transportation',35.81,0
71,'C1051682954','2','F','28007','M1053599405','28007','es_health',108.4,0
24,'C1484573422','5','M','28007','M1823072687','28007','es_transportation',28.82,0
111,'C564473555','2','F','28007','M1823072687','28007','es_transportation',26.59,0
67,'C436675850','4','M','28007','M1823072687','28007','es_transportation',25.26,0
18,'C371570992','6','M','28007','M348934600','28007','es_transportation',10.03,0
59,'C88292631','4','M','28007','M1823072687','28007','es_transportation',23.5,0
78,'C2145933360','5','F','28007','M85975013','28007','es_food',32.15,0
4,'C1876476635','2','M','28007','M348934600','28007','es_transportation',48.2,0
149,'C2120153320','2','F','28007','M348934600','28007','es_transportation',0.22,0
82,'C1913314890','3','F','28007','M1823072687','28007','es_transportation',38.89,0
88,'C320158645','2','M','28007','M1913465890','28007','es_health',17.62,0
135,'C1058652489','4','M','28007','M1823072687','28007','es_transportation',30.98,0
24,'C135716487','4','F','28007','M1823072687','28007','es_transportation',9.44,0
159,'C692285338','4','F','28007','M677738360','28007','es_contents',49.92,0
64,'C830053540','3','F','28007','M78078399','28007','es_wellnessandbeauty',4.16,0
24,'C1403689550','2','F','28007','M348934600','28007','es_transportation',35.74,0
93,'C976209265','4','M','28007','M1053599405','28007','es_health',213.58,0
107,'C344259725','3','M','28007','M348934600','28007','es_transportation',51.56,0
131,'C1537903478','4','M','28007','M348934600','28007','es_transportation',9.37,0
62,'C1918935856','4','M','28007','M348934600','28007','es_transportation',13.49,0
125,'C667215072','3','F','28007','M1823072687','28007','es_transportation',2.17,0
127,'C144835944','4','F','28007','M1823072687','28007','es_transportation',46.95,0
137,'C400803731','2','F','28007','M1823072687','28007','es_transportation',43.28,0
59,'C1723242462','5','M','28007','M1823072687','28007','es_transportation',10.34,0
41,'C986156699','3','F','28007','M1823072687','28007','es_transportation',35.59,0
86,'C649077628','3','F','28007','M1946091778','28007','es_wellnessandbeauty',48.59,0
23,'C1635987808','5','F','28007','M1823072687','28007','es_transportation',51.92,0
125,'C381250974','2','F','28007','M1823072687','28007','es_transportation',21.13,0
154,'C1242770016','4','M','28007','M348934600','28007','es_transportation',6.25,0
48,'C1520919939','4','M','28007','M348934600','28007','es_transportation',34.23,0
121,'C1126297464','2','F','28007','M1823072687','28007','es_transportation',28.35,0
171,'C555482626','3','F','28007','M1823072687','28007','es_transportation',16.59,0
21,'C267593624','1','F','28007','M348934600','28007','es_transportation',6.62,0
145,'C1784755412','3','F','28007','M1823072687','28007','es_transportation',11.21,0
40,'C345640256','4','F','28007','M348934600','28007','es_transportation',15.67,0
59,'C1439299369','3','M','28007','M1823072687','28007','es_transportation',8.07,0
95,'C1739071229','4','F','28007','M1823072687','28007','es_transportation',21.37,0
3,'C1676378077','2','F','28007','M1823072687','28007','es_transportation',44.29,0
120,'C742784538','3','M','28007','M1823072687','28007','es_transportation',23.77,0
131,'C707360147','4','F','28007','M1823072687','28007','es_transportation',23.47,0
178,'C1475486134','5','M','28007','M1823072687','28007','es_transportation',28.64,0
89,'C1114643543','6','M','28007','M1823072687','28007','es_transportation',14.44,0
34,'C1557540123','4','F','28007','M1823072687','28007','es_transportation',13.17,0
52,'C1930072075','3','M','28007','M1535107174','28007','es_wellnessandbeauty',69.45,0
177,'C131682780','2','F','28007','M1823072687','28007','es_transportation',57.26,0
105,'C655866157','5','M','28007','M348934600','28007','es_transportation',38.56,0
134,'C896887653','3','M','28007','M348934600','28007','es_transportation',2.84,0
35,'C1724556830','1','M','28007','M1823072687','28007','es_transportation',29.93,0
45,'C1508025585','5','F','28007','M348934600','28007','es_transportation',31.34,0
175,'C1609425799','1','F','28007','M85975013','28007','es_food',25.73,0
1,'C1729776721','4','M','28007','M1823072687','28007','es_transportation',51.23,0
88,'C1987405562','5','F','28007','M209847108','28007','es_wellnessandbeauty',201.59,0
40,'C605522883','2','M','28007','M348934600','28007','es_transportation',3.28,0
102,'C908718101','3','F','28007','M85975013','28007','es_food',4.41,0
50,'C1586463432','6','M','28007','M348934600','28007','es_transportation',65.08,0
174,'C105013970','3','M','28007','M348934600','28007','es_transportation',14.48,0
31,'C233539413','2','F','28007','M547558035','28007','es_fashion',64.89,0
99,'C347987512','2','F','28007','M348934600','28007','es_transportation',32.61,0
174,'C1525581466','1','F','28007','M1823072687','28007','es_transportation',29.27,0
165,'C1503009287','2','M','28007','M1823072687','28007','es_transportation',23.58,0
129,'C1621026927','3','F','28007','M1823072687','28007','es_transportation',5.54,0
82,'C1090604904','2','M','28007','M348934600','28007','es_transportation',3.4,0
128,'C1319350044','3','M','28007','M348934600','28007','es_transportation',6.84,0
51,'C577335130','4','M','28007','M348934600','28007','es_transportation',36.45,0
121,'C181787207','3','M','28007','M1053599405','28007','es_health',40.21,0
69,'C161678291','3','F','28007','M1823072687','28007','es_transportation',50.13,0
126,'C594146637','2','M','28007','M1823072687','28007','es_transportation',47.93,0
68,'C377517197','3','F','28007','M1823072687','28007','es_transportation',3.7,0
48,'C1971153898','3','M','28007','M348934600','28007','es_transportation',39.56,0
10,'C713872230','2','M','28007','M1823072687','28007','es_transportation',25.62,0
108,'C2078460335','6','F','28007','M348934600','28007','es_transportation',42.57,0
96,'C1821681988','2','F','28007','M1823072687','28007','es_transportation',46.8,0
174,'C554819698','3','M','28007','M1823072687','28007','es_transportation',31.27,0
30,'C672794326','3','F','28007','M348934600','28007','es_transportation',32.53,0
166,'C1193034305','4','F','28007','M855959430','28007','es_hyper',10.89,0
86,'C706757729','3','M','28007','M1823072687','28007','es_transportation',23.14,0
131,'C506003529','5','F','28007','M1823072687','28007','es_transportation',9.52,0
29,'C179196508','3','F','28007','M348934600','28007','es_transportation',25.7,0
170,'C2108669396','5','M','28007','M1823072687','28007','es_transportation',22.07,0
129,'C488606576','2','F','28007','M1823072687','28007','es_transportation',49.74,0
120,'C306641104','3','F','28007','M1823072687','28007','es_transportation',1.08,0
88,'C1897313368','5','F','28007','M1823072687','28007','es_transportation',22.99,0
23,'C1593769010','1','M','28007','M1823072687','28007','es_transportation',40.91,0
115,'C967790734','4','F','28007','M1823072687','28007','es_transportation',41.68,0
33,'C151715772','3','F','28007','M348934600','28007','es_transportation',15.12,0
44,'C1478081031','4','F','28007','M1823072687','28007','es_transportation',10.35,0
50,'C2072009750','2','F','28007','M348934600','28007','es_transportation',40.27,0
88,'C1155962240','2','F','28007','M1823072687','28007','es_transportation',0.7,0
34,'C2128589842','3','F','28007','M348934600','28007','es_transportation',55.77,0
3,'C1158738757','3','M','28007','M348934600','28007','es_transportation',23.76,0
2,'C772895850','3','M','28007','M348934600','28007','es_transportation',44.16,0
32,'C1510535804','3','F','28007','M348934600','28007','es_transportation',5.84,0
106,'C320158645','2','M','28007','M1535107174','28007','es_wellnessandbeauty',104.07,0
168,'C1314533733','2','M','28007','M1823072687','28007','es_transportation',7.65,0
116,'C748358246','2','M','28007','M1823072687','28007','es_transportation',22.08,0
129,'C1551083784','2','M','28007','M1823072687','28007','es_transportation',57.06,0
68,'C1977634536','4','F','28007','M1823072687','28007','es_transportation',14.61,0
169,'C605859862','5','F','28007','M348934600','28007','es_transportation',17.13,0
75,'C2092526272','6','F','28007','M97925176','28007','es_wellnessandbeauty',96.71,0
30,'C1660830591','1','F','28007','M1842530320','28007','es_tech',308.49,0
66,'C1628447668','3','M','28007','M348934600','28007','es_transportation',25.67,0
44,'C5377162','4','F','28007','M348934600','28007','es_transportation',6.74,0
156,'C995746715','3','F','28007','M348934600','28007','es_transportation',8.08,0
128,'C49864446','5','M','28007','M348934600','28007','es_transportation',21.87,0
146,'C332229910','4','F','28007','M1823072687','28007','es_transportation',16.52,0
55,'C332727422','5','M','28007','M1823072687','28007','es_transportation',4.36,0
158,'C1299496226','5','F','28007','M1823072687','28007','es_transportation',20.06,0
159,'C1405664150','4','M','28007','M1823072687','28007','es_transportation',61.78,0
4,'C914488986','4','M','28007','M348934600','28007','es_transportation',14.14,0
87,'C792341594','3','M','28007','M1823072687','28007','es_transportation',48.0,0
0,'C722399783','4','M','28007','M1823072687','28007','es_transportation',53.92,0
0,'C1530157952','2','F','28007','M348934600','28007','es_transportation',21.28,0
33,'C1840859519','3','F','28007','M855959430','28007','es_hyper',152.8,1
164,'C2055156879','3','F','28007','M1823072687','28007','es_transportation',6.71,0
78,'C1777432937','3','F','28007','M85975013','28007','es_food',75.03,0
156,'C1580712621','4','M','28007','M1823072687','28007','es_transportation',37.82,0
68,'C1807259356','3','F','28007','M348934600','28007','es_transportation',4.09,0
29,'C1180570487','6','F','28007','M348934600','28007','es_transportation',2.15,0
82,'C531724764','4','F','28007','M1053599405','28007','es_health',68.82,0
178,'C696052681','2','F','28007','M1823072687','28007','es_transportation',30.22,0
91,'C1711699171','2','M','28007','M1823072687','28007','es_transportation',23.61,0
