DFE Code,Previous DFE Code,School Name,Executive headteacher,Headteacher,Address 1,Address 2,Address 3,Post Code,School Wards,Website,Telephone,Fax,NOR,Status,Type
2005,,Abbey Park Academy,,Emme Ford,Keighley Close,Illingworth,HALIFAX,HX2 9DG,Illingworth and Mixenden,http://www.abbeyparkacademy.org,01422 246610,01422 246612,210,ACAD,P
2001,,Akroydon Primary Academy,Michael Gosling,Emma Hanlon (acting),Rawson Street North,Boothtown,HALIFAX,HX3 6PU,Town,http://www.akroydonprimary.org/,01422 351291,01422 362835,384,ACAD,P
5201,,All Saints' CE (VA) J & I School,,Mark Sharp,Dudwell Lane,,HALIFAX,HX3 0SD,Skircoat,http://www.allsaintsschoolhalifax.co.uk,01422 367140,01422 383091,211,VA,P
2093,,Ash Green Community Primary School,,Mungo Sheppard,Mixenden Road,Mixenden,HALIFAX,HX2 8QD,Illingworth and Mixenden,http://www.ashgreen.info,01422 244613,01422 244613,492,C,P
2040,,Bailiffe Bridge J & I School,,Helen Proctor,Victoria Road,Bailiff Bridge,BRIGHOUSE,HD6 4DY,Hipperholme and Lightcliffe,http://www.bailiffebridgeschool.org.uk,01484 713039,01484 722870,208,C,P
3321,,Barkisland CE (VA) Primary School,,Becky Schofield,Scammonden Road,Barkisland,HALIFAX,HX4 0BD,Ryburn,http://www.barkislandcofeschool.org.uk,01422 823324,01422 825982,205,VA,P
2019,,Beech Hill School,,Shameem Hussain,Mount Pleasant Avenue,,HALIFAX,HX1 5TN,Park,http://www.beechhillschool.co.uk,01422 345004,01422 381830,610,ACAD,P
2063,,Bolton Brow Primary Academy,,Daniel Burns,,Bolton Brow,SOWERBY BRIDGE,HX6 2BA,Sowerby Bridge,http://www.boltonbrow.com,01422 831031,01422 832756,235,ACAD,P
2048,,Bowling Green Primary School,,Christopher Booth,,Stainland,HALIFAX,HX4 9HU,Greetland and Stainland,http://www.bowlinggreen.calderdale.sch.uk,01422 374863,01422 379783,159,C,P
2004,,Bradshaw Primary School,,Tracy Turner,Ingham Lane,Bradshaw,HALIFAX,HX2 9PF,Illingworth and Mixenden,http://www.bradshawprimaryschool.org,01422 244283,01422 242218,328,ACAD,P
