Type of Insurer,Company Name,Year,Assets,Liabilities,Premium Written
HMO,Aetna Health Inc.,2016,264675036,50287241," 174,203,509 "
A&H,Aetna Health Insurance Company of New York,2016,10461315,287140," 157,474 "
MCH,Allegany-Cattaraugus Schools Medical Health Plan,2016,31000025,12752424,"45,239,771 "
HMO,"Alphacare of New York, Inc.",2016,46967357,28389712," 138,475,699 "
A&H,American Independent Network Insurance Company of New York,2016,23770607,43561275," 2,271,595 "
HMO,"Atlantis Health Plan, Inc.",2016,2382843,3423145," 259,045 "
HMO,Capital District Physicians Health Plan,2016,506939926,198568427," 1,445,328,230 "
A&H,Care Improvement Plus of South Central Insurance Company,2016,1029490809,606426571, -   
A&H,Care Improvement Plus of TX Ins Co,2016,378924070,258073159, (654)
A&H,"CareConnect Insurance Company, Inc. (formerly North Shore LIJ CareConnect Insurance Company)",2016,278054898,245404525," 366,041,359 "
HMO,Cuatro LLC,2016,6863922,12150118," 36,152,592 "
HMO,"Catholic Special Needs Plan, LLC",2016,15129739,8790353," 48,423,769 "
MCH,Catskill Area Schools Employees Benefit Plan,2016,25936849,5433879,"36,661,723 "
MCH,Cayuga-Onondaga Area School Employees' Healthcare Plan,2016,30874548,4334663,"25,879,581 "
A43,"CDPHP Universal Benefits, Inc.",2016,175309773,61562217," 693,683,998 "
MCH,Chautauqua County School Districts' Medical Health Plan,2016,29270035,10386664,"51,355,345 "
A&H,Commercial Travelers Mutual Insurance Company,2016,16561397,11647270," 1,566,621 "
A&H,"Crystal Run Health Insurance Company, Inc.",2016,6720994,6377174," 9,732,015 "
HMO,"Crystal Run Health Plan, LLC",2016,11990064,8472873," 13,473,766 "
A&H,Delta Dental Insurance Company,2016,254433443,132963093," 22,114,337 "
A43,"Delta Dental of New York, Inc.",2016,64502138,26732572," 162,045,612 "
A43,"Dentcare Delivery Systems, Inc.",2016,17960851,7143314," 62,220,842 "
A43,"Eastern Vision Service Plan, Inc.",2016,41486496,12547190," 88,898,347 "
HMO,"Elderplan, Inc.",2016,189682207,133034939," 841,453,344 "
A&H,"Empire HealthChoice Assurance, Inc.",2016,2501034279,1623628900," 2,195,945,044 "
HMO,"Empire HealthChoice HMO, Inc.",2016,616060104,392128262," 1,378,435,411 "
A&H,Envision Insurance Company,2016,309925001,260335335," 6,455,928 "
A43,"Excellus Health Plan, Inc.",2016,3086256278,1875541355," 5,991,957,950 "
A&H,"Freelancers Insurance Company, Inc.",2016,4119816,860101, -   
HMO,Fresenius Health Plans of New York Inc,2016,3501053,377070, -   
MCH,Greater Tompkins County Municipal Health Insurance Consortium,2016,24290896,5289610,"38,519,955 "
A43,Group Health Incorporated,2016,672150738,411322836," 906,816,945 "
A&H,"Health Insurance Company of America, Inc.",2016,1578499,681946," 294,774 "
A43,Health Insurance Plan of Greater New York,2016,1424406348,954500910," 4,879,621,867 "
A&H,"Health Net Insurance of New York, Inc.",2016,16468723,48469, -   
HMO,"Healthfirst Health Plan, Inc. (formerly Managed Health, Inc.)",2016,782847287,520392797," 2,239,546,875 "
A&H,"Healthfirst Insurance Company, Inc.",2016,25085683,87705, -   
A43,HealthNow New York Inc.,2016,1062288003,520822590," 2,313,825,356 "
A&H,Healthplex Insurance Company,2016,5328884,839829," 8,110,836 "
A&H,"HealthSpring Life & Health Insurance Company, Inc.",2016,602829479,322626324, (253)
A&H,HIP Insurance Company of New York,2016,53744428,12152917," 8,007,945 "
HMO,"Humana Health Company of New York, Inc.",2016,40066568,18753592," 108,059,608 "
A&H,Humana Insurance Company of New York,2016,105516470,37373792," 291,838,291 "
HMO,"Independent Health Association, Inc.",2016,710083776,342990659," 1,500,942,267 "
A43,Independent Health Benefits Corporation,2016,238326201,142296092," 606,398,663 "
MCH,Jefferson-Lewis et. al. School Employees Healthcare Plan,2016,45358576,12764543,"70,830,970 "
