index,actual,consensus,country,day,forecast,hour,indicator,label,period,previous,previous_revised,source
0,"{""value"": 3.5, ""uom"": ""%""}",null,DE,2018-12-14,null,09:00 AM,Wholesale Prices YoY,1,NOV,"{""value"": 4.0, ""uom"": ""%""}",null,te
1,"{""value"": 49.3, ""uom"": null}","{""value"": 54.0, ""uom"": null}",FR,2018-12-14,null,08:15,Markit PMI Composite (Dec),1,,"{""value"": 54.2, ""uom"": null}",null,fxs
2,"{""value"": 52.2, ""uom"": null}","{""value"": 52.5, ""uom"": null}",DE,2018-12-14,null,08:30,Markit PMI Composite (Dec),1,,"{""value"": 52.3, ""uom"": null}",null,fxs
3,"{""value"": 51.3, ""uom"": null}","{""value"": 52.8, ""uom"": null}",EA,2018-12-14,null,09:00,Markit PMI Composite (Dec),1,,"{""value"": 52.7, ""uom"": null}",null,fxs
4,"{""value"": -0.3, ""uom"": ""%""}",null,IT,2018-12-14,null,11:00 AM,Industrial Orders MoM,1,OCT,"{""value"": -3.1, ""uom"": ""%""}","{""value"": -2.9, ""uom"": ""Previousrevisedfrom""}",te
5,"{""value"": -0.3, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",IT,2018-12-14,null,10:00,Consumer Price Index (EU Norm) (YoY) (Nov),1,,"{""value"": -0.3, ""uom"": ""%""}",null,fxs
6,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-12-14,"{""value"": 0.3, ""uom"": ""%""}",03:30 PM,Retail Sales MoM,1,NOV,"{""value"": 1.1, ""uom"": ""%""}","{""value"": 0.8, ""uom"": ""Previousrevisedfrom""}",te
7,"{""value"": 78.5, ""uom"": ""%""}","{""value"": 78.6, ""uom"": ""%""}",US,2018-12-14,"{""value"": 78.2, ""uom"": ""%""}",04:15 PM,Capacity Utilization,1,NOV,"{""value"": 78.1, ""uom"": ""%""}","{""value"": 78.4, ""uom"": ""Previousrevisedfrom""}",te
8,"{""value"": 0.6, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",US,2018-12-14,"{""value"": 0.2, ""uom"": ""%""}",04:15 PM,Industrial Production MoM,1,NOV,"{""value"": -0.2, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""Previousrevisedfrom""}",te
9,"{""value"": 0.6, ""uom"": ""%""}","{""value"": 0.6, ""uom"": ""%""}",US,2018-12-14,null,15:00,Business Inventories (Oct),1,,"{""value"": 0.5, ""uom"": ""%""}",null,fxs
10,"{""value"": 52.4, ""uom"": null}",null,AU,2018-12-14,null,12:00 AM,CommBank Australia Composite PMI Flash,0,DEC,"{""value"": 53.9, ""uom"": null}",null,te
11,"{""value"": 52.2, ""uom"": null}",null,AU,2018-12-14,null,12:00 AM,CommBank Australia Services PMI Flash,0,DEC,"{""value"": 53.7, ""uom"": null}",null,te
12,"{""value"": 53.7, ""uom"": null}",null,AU,2018-12-14,null,12:00 AM,CommBank Australia Manufacturing PMI Flash,0,DEC,"{""value"": 54.6, ""uom"": null}",null,te
13,"{""value"": 19.0, ""uom"": null}","{""value"": 17.0, ""uom"": null}",JP,2018-12-14,"{""value"": 17.0, ""uom"": null}",01:50 AM,Tankan Large Manufacturers Index,0,Q4,"{""value"": 19.0, ""uom"": null}",null,te
14,"{""value"": 14.3, ""uom"": ""%""}","{""value"": 12.7, ""uom"": null}",JP,2018-12-14,null,01:50 AM,Tankan Large All Industry Capex,0,Q4,"{""value"": 13.4, ""uom"": null}",null,te
15,"{""value"": 20.0, ""uom"": null}","{""value"": 20.0, ""uom"": null}",JP,2018-12-14,null,01:50 AM,Tankan Non-Manufacturing Outlook,0,Q4,"{""value"": 22.0, ""uom"": null}",null,te
16,"{""value"": 15.0, ""uom"": null}","{""value"": 16.0, ""uom"": null}",JP,2018-12-14,null,01:50 AM,Tankan Large Manufacturing Outlook,0,Q4,"{""value"": 19.0, ""uom"": null}",null,te
17,"{""value"": 24.0, ""uom"": null}","{""value"": 21.0, ""uom"": null}",JP,2018-12-14,"{""value"": 20.0, ""uom"": null}",01:50 AM,Tankan Large Non-Manufacturing Index,0,Q4,"{""value"": 22.0, ""uom"": null}",null,te
18,"{""value"": 14.0, ""uom"": null}","{""value"": 13.0, ""uom"": null}",JP,2018-12-14,"{""value"": 13.0, ""uom"": null}",01:50 AM,Tankan Small Manufacturers Index,0,Q4,"{""value"": 14.0, ""uom"": null}",null,te
19,"{""value"": 52.4, ""uom"": null}","{""value"": 52.3, ""uom"": null}",JP,2018-12-14,"{""value"": 51.9, ""uom"": null}",02:30 AM,Nikkei Manufacturing PMI Flash,0,DEC,"{""value"": 52.2, ""uom"": null}",null,te
20,"{""value"": 8.1, ""uom"": ""%""}","{""value"": 8.8, ""uom"": ""%""}",CN,2018-12-14,"{""value"": 8.4, ""uom"": ""%""}",04:00 AM,Retail Sales YoY,0,NOV,"{""value"": 8.6, ""uom"": ""%""}",null,te
21,"{""value"": 4.0, ""uom"": ""%""}",null,JP,2018-12-14,null,06:30 AM,Capacity Utilization MoM,0,OCT,"{""value"": -1.5, ""uom"": ""%""}",null,te
22,"{""value"": 4.2, ""uom"": ""%""}","{""value"": 4.2, ""uom"": ""%""}",JP,2018-12-14,"{""value"": 4.2, ""uom"": ""%""}",06:30 AM,Industrial Production YoY Final,0,OCT,"{""value"": -2.5, ""uom"": ""%""}",null,te
23,"{""value"": 2.9, ""uom"": ""%""}","{""value"": 2.9, ""uom"": ""%""}",JP,2018-12-14,"{""value"": 2.9, ""uom"": ""%""}",06:30 AM,Industrial Production MoM Final,0,OCT,"{""value"": -0.4, ""uom"": ""%""}",null,te
24,"{""value"": 0.2, ""uom"": ""%""}",null,DE,2018-12-14,null,09:00 AM,Wholesale Prices MoM,0,NOV,"{""value"": 0.3, ""uom"": ""%""}",null,te
25,null,null,DE,2018-12-14,null,09:30 AM,Bundesbank Semi-Annual Forecasts,0,,null,null,te
26,"{""value"": 1.7, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",ES,2018-12-14,"{""value"": 1.7, ""uom"": ""%""}",10:00 AM,Harmonised Inflation Rate YoY Final,0,NOV,"{""value"": 2.3, ""uom"": ""%""}",null,te
27,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",ES,2018-12-14,"{""value"": -0.2, ""uom"": ""%""}",10:00 AM,Harmonised Inflation Rate MoM Final,0,NOV,"{""value"": 0.7, ""uom"": ""%""}",null,te
28,"{""value"": 1.7, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",ES,2018-12-14,"{""value"": 1.7, ""uom"": ""%""}",10:00 AM,Inflation Rate YoY Final,0,NOV,"{""value"": 2.3, ""uom"": ""%""}",null,te
29,"{""value"": -0.1, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",ES,2018-12-14,"{""value"": -0.1, ""uom"": ""%""}",10:00 AM,Inflation Rate MoM Final,0,NOV,"{""value"": 0.9, ""uom"": ""%""}",null,te
30,"{""value"": 49.3, ""uom"": null}","{""value"": 54.0, ""uom"": null}",FR,2018-12-14,"{""value"": 53.8, ""uom"": null}",10:15 AM,Markit Composite PMI Flash,0,DEC,"{""value"": 54.2, ""uom"": null}",null,te
31,"{""value"": 49.7, ""uom"": null}","{""value"": 50.7, ""uom"": null}",FR,2018-12-14,"{""value"": 52.7, ""uom"": null}",10:15 AM,Markit Manufacturing PMI Flash,0,DEC,"{""value"": 50.8, ""uom"": null}",null,te
32,"{""value"": 49.6, ""uom"": null}","{""value"": 54.8, ""uom"": null}",FR,2018-12-14,"{""value"": 54.5, ""uom"": null}",10:15 AM,Markit Services PMI Flash,0,DEC,"{""value"": 55.1, ""uom"": null}",null,te
33,"{""value"": 52.2, ""uom"": null}","{""value"": 52.5, ""uom"": null}",DE,2018-12-14,"{""value"": 52.9, ""uom"": null}",10:30 AM,Markit Composite PMI Flash,0,DEC,"{""value"": 52.3, ""uom"": null}",null,te
34,"{""value"": 51.5, ""uom"": null}","{""value"": 52.0, ""uom"": null}",DE,2018-12-14,"{""value"": 52.3, ""uom"": null}",10:30 AM,Markit Manufacturing PMI Flash,0,DEC,"{""value"": 51.8, ""uom"": null}",null,te
35,"{""value"": 52.5, ""uom"": null}","{""value"": 53.4, ""uom"": null}",DE,2018-12-14,"{""value"": 53.9, ""uom"": null}",10:30 AM,Markit Services PMI Flash,0,DEC,"{""value"": 53.3, ""uom"": null}",null,te
36,"{""value"": 51.3, ""uom"": null}","{""value"": 52.8, ""uom"": null}",EA,2018-12-14,"{""value"": 52.5, ""uom"": null}",11:00 AM,Markit Composite PMI Flash,0,DEC,"{""value"": 52.7, ""uom"": null}",null,te
37,"{""value"": 51.4, ""uom"": null}","{""value"": 51.9, ""uom"": null}",EA,2018-12-14,"{""value"": 51.9, ""uom"": null}",11:00 AM,Markit Manufacturing PMI Flash,0,DEC,"{""value"": 51.8, ""uom"": null}",null,te
38,"{""value"": 51.4, ""uom"": null}","{""value"": 53.5, ""uom"": null}",EA,2018-12-14,"{""value"": 53.4, ""uom"": null}",11:00 AM,Markit Services PMI Flash,0,DEC,"{""value"": 53.4, ""uom"": null}",null,te
39,"{""value"": 2.5, ""uom"": ""%""}",null,EA,2018-12-14,"{""value"": 2.3, ""uom"": ""%""}",12:00 PM,Labour Cost Index YoY,0,Q3,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.2, ""uom"": ""Previousrevisedfrom""}",te
40,"{""value"": 2.4, ""uom"": ""%""}",null,EA,2018-12-14,"{""value"": 2.0, ""uom"": ""%""}",12:00 PM,Wage Growth YoY,0,Q3,"{""value"": 2.1, ""uom"": ""%""}","{""value"": 1.9, ""uom"": ""Previousrevisedfrom""}",te
41,"{""value"": 1.6, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",IT,2018-12-14,"{""value"": 1.7, ""uom"": ""%""}",12:00 PM,Harmonised Inflation Rate YoY Final,0,NOV,"{""value"": 1.7, ""uom"": ""%""}",null,te
42,"{""value"": -0.3, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",IT,2018-12-14,"{""value"": -0.2, ""uom"": ""%""}",12:00 PM,Harmonised Inflation Rate MoM Final,0,NOV,"{""value"": 0.2, ""uom"": ""%""}",null,te
43,"{""value"": 1.6, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",IT,2018-12-14,"{""value"": 1.7, ""uom"": ""%""}",12:00 PM,Inflation Rate YoY Final,0,NOV,"{""value"": 1.6, ""uom"": ""%""}",null,te
44,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",IT,2018-12-14,"{""value"": -0.1, ""uom"": ""%""}",12:00 PM,Inflation Rate MoM Final,0,NOV,"{""value"": 0.0, ""uom"": ""%""}",null,te
45,null,null,DE,2018-12-14,null,01:00 PM,Bundesbank Balz Speech,0,,null,null,te
46,"{""value"": 165600.0, ""uom"": null}",null,CA,2018-12-14,null,03:30 PM,New Motor Vehicle Sales,0,OCT,"{""value"": 178900.0, ""uom"": null}","{""value"": 177800.0, ""uom"": ""Previousrevisedfrom""}",te
47,null,null,EA,2018-12-14,null,03:30 PM,ECB Angeloni Speech,0,,null,null,te
48,"{""value"": 4.2, ""uom"": ""%""}",null,US,2018-12-14,"{""value"": 4.2, ""uom"": ""%""}",03:30 PM,Retail Sales YoY,0,NOV,"{""value"": 4.8, ""uom"": ""%""}","{""value"": 4.6, ""uom"": ""Previousrevisedfrom""}",te
49,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",US,2018-12-14,null,04:15 PM,Manufacturing Production MoM,0,NOV,"{""value"": -0.1, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""Previousrevisedfrom""}",te
50,"{""value"": 2.0, ""uom"": ""%""}",null,US,2018-12-14,"{""value"": 2.2, ""uom"": ""%""}",04:15 PM,Manufacturing Production YoY,0,NOV,"{""value"": 2.2, ""uom"": ""%""}","{""value"": 2.7, ""uom"": ""Previousrevisedfrom""}",te
51,"{""value"": 53.6, ""uom"": null}",null,US,2018-12-14,"{""value"": 54.3, ""uom"": null}",04:45 PM,Markit Composite PMI Flash,0,DEC,"{""value"": 54.7, ""uom"": null}",null,te
52,"{""value"": 53.9, ""uom"": null}","{""value"": 55.1, ""uom"": null}",US,2018-12-14,"{""value"": 55.2, ""uom"": null}",04:45 PM,Markit Manufacturing PMI Flash,0,DEC,"{""value"": 55.3, ""uom"": null}",null,te
53,"{""value"": 53.4, ""uom"": null}","{""value"": 54.7, ""uom"": null}",US,2018-12-14,"{""value"": 54.5, ""uom"": null}",04:45 PM,Markit Services PMI Flash,0,DEC,"{""value"": 54.7, ""uom"": null}",null,te
