ADDRESS,RV
"Coal Houses Farm Caravan Site, North Broomhill, Morpeth, Northumberland, NE65 9XE",2225
"54, The Village, Acklington, Morpeth, Northumberland, NE65 9BW",4450
"54, The Village, Acklington, Morpeth, Northumberland, NE65 9BW",4450
"Alnmouth Village Golf Club Ltd, Marine Road, Alnmouth, Alnwick, Northumberland, NE66 2RZ",10500
"Car Parking Tolls North Links, Alnmouth, Alnwick, Northumberland, NE66 2ND",5500
"39, Northumberland Street, Alnmouth, Alnwick, Northumberland, NE66 2RA",520
"Hindmarsh Hall, Northumberland Street, Alnmouth, Alnwick, NE66 2RS",3000
"Hindmarsh Hall, Northumberland Street, Alnmouth, Alnwick, NE66 2RS",3000
"29, Riverside Road, Alnmouth, Alnwick, Northumberland, NE66 2SD",6600
"Copley Hall, Howick, Alnwick, Northumberland, NE66 3LE",1575
"Copley Hall, Howick, Alnwick, Northumberland, NE66 3LE",1575
"Craster Memorial Hall, Whin Hill, Craster, Alnwick, NE66 3TP",1750
"Craster Memorial Hall, Whin Hill, Craster, Alnwick, NE66 3TP",1750
"Spitalford Cemetery, Embleton, Alnwick, Northumberland, NE66 3DW",600
"Craster Pine Lodges, 9, West End, Craster, Alnwick, Northumberland, NE66 3TS",6500
"Village Hall, Denwick, Alnwick, Northumberland, NE66 3RE",1275
"18, The Village, Eglingham, Alnwick, Northumberland, NE66 2TX",2125
"18, The Village, Eglingham, Alnwick, Northumberland, NE66 2TX",2125
"Village Hall, South Charlton, Alnwick, NE66 2NA",1950
"Village Hall, South Charlton, Alnwick, NE66 2NA",1950
"Embleton C E First School, Embleton, Alnwick, Northumberland, NE66 3XR",4450
"Golf Course, Dunstanburgh Castle Golf Course, Embleton, Alnwick, NE66 3XQ",18500
"Embleton Garage, Embleton, Alnwick, Northumberland, NE66 3XS",6200
"Embleton Garage, Embleton, Alnwick, Northumberland, NE66 3XS",6200
"Playing Field, Embleton, Alnwick, Northumberland, NE66 3XF",690
"Felton Park Rifle Range, Felton, Morpeth, Northumberland, NE65 9HN",1750
"Village Hall, Main Street, Felton, Morpeth, Northumberland, NE65 9PT",5400
"Village Hall, Main Street, Felton, Morpeth, Northumberland, NE65 9PT",5400
"T Johnson & Son, Garden Terrace, Glanton, Alnwick, NE66 4AW",2425
"Glanton Memorial Hall West Turn Pike, Glanton, Alnwick, Northumberland, NE66 4AN",2275
"Glanton Memorial Hall West Turn Pike, Glanton, Alnwick, Northumberland, NE66 4AN",2275
"Village Hall, Low Hauxley, Amble, Morpeth, NE65 0JR",590
"Village Hall, Low Hauxley, Amble, Morpeth, NE65 0JR",590
"Bolton Village Hall, West Bolton, Alnwick, Northumberland, NE66 2EE",2275
"Bolton Village Hall, West Bolton, Alnwick, Northumberland, NE66 2EE",2275
