t,x
1970-01-01,v_12
1970-01-02,v_4
1970-01-03,v_19
1970-01-04,v_4
1970-01-05,v_19
1970-01-06,v_4
1970-01-07,v_19
1970-01-08,v_4
1970-01-09,v_19
1970-01-10,v_4
1970-01-11,v_19
1970-01-12,v_4
1970-01-13,v_19
1970-01-14,v_4
1970-01-15,v_19
1970-01-16,v_4
1970-01-17,v_19
1970-01-18,v_4
1970-01-19,v_19
1970-01-20,v_4
1970-01-21,v_19
1970-01-22,v_4
1970-01-23,v_19
1970-01-24,v_4
1970-01-25,v_19
1970-01-26,v_4
1970-01-27,v_19
1970-01-28,v_4
1970-01-29,v_19
1970-01-30,v_4
1970-01-31,v_19
1970-02-01,v_4
1970-02-02,v_19
1970-02-03,v_4
1970-02-04,v_19
1970-02-05,v_4
1970-02-06,v_19
1970-02-07,v_4
1970-02-08,v_19
1970-02-09,v_4
1970-02-10,v_19
1970-02-11,v_4
1970-02-12,v_19
1970-02-13,v_4
1970-02-14,v_19
1970-02-15,v_4
1970-02-16,v_19
1970-02-17,v_4
1970-02-18,v_19
1970-02-19,v_4
1970-02-20,v_19
1970-02-21,v_4
1970-02-22,v_19
1970-02-23,v_4
1970-02-24,v_19
1970-02-25,v_4
1970-02-26,v_19
1970-02-27,v_4
1970-02-28,v_19
1970-03-01,v_4
1970-03-02,v_19
1970-03-03,v_4
1970-03-04,v_19
1970-03-05,v_4
1970-03-06,v_19
1970-03-07,v_4
1970-03-08,v_19
1970-03-09,v_4
1970-03-10,v_19
1970-03-11,v_4
1970-03-12,v_19
1970-03-13,v_4
1970-03-14,v_19
1970-03-15,v_4
1970-03-16,v_19
1970-03-17,v_4
1970-03-18,v_19
1970-03-19,v_4
1970-03-20,v_19
1970-03-21,v_4
1970-03-22,v_19
1970-03-23,v_4
1970-03-24,v_19
1970-03-25,v_4
1970-03-26,v_19
1970-03-27,v_4
1970-03-28,v_19
1970-03-29,v_4
1970-03-30,v_19
1970-03-31,v_4
1970-04-01,v_19
1970-04-02,v_4
1970-04-03,v_19
1970-04-04,v_4
1970-04-05,v_19
1970-04-06,v_4
1970-04-07,v_19
1970-04-08,v_4
1970-04-09,v_19
1970-04-10,v_4
1970-04-11,v_19
1970-04-12,v_4
1970-04-13,v_19
1970-04-14,v_4
1970-04-15,v_19
1970-04-16,v_4
1970-04-17,v_19
1970-04-18,v_4
1970-04-19,v_19
1970-04-20,v_4
1970-04-21,v_19
1970-04-22,v_4
1970-04-23,v_19
1970-04-24,v_4
1970-04-25,v_19
