t,x
1970-01-01,1.6670516544694798
1970-01-02,6.231317930009478
1970-01-03,16.994981415344864
1970-01-04,52.46083388006961
1970-01-05,156.10595137891121
1970-01-06,469.44209159489236
1970-01-07,1408.2215551283875
1970-01-08,4222.844233991524
1970-01-09,12671.303687772333
1970-01-10,38011.98468939742
1970-01-11,114035.49763589134
1970-01-12,342104.4725324247
1970-01-13,1026301.0131542549
1970-01-14,3078869.019486999
1970-01-15,9236501.584076827
1970-01-16,27709193.143695008
1970-01-17,83126640.91753432
1970-01-18,249377104.39009362
1970-01-19,748122869.3815203
1970-01-20,2244343264.9232073
1970-01-21,6732953771.905217
1970-01-22,20198633242.395416
1970-01-23,60595215518.40566
1970-01-24,181783593953.23672
1970-01-25,545344624122.48114
1970-01-26,1636015399366.6519
1970-01-27,4907990779710.769
1970-01-28,14723806085852.354
1970-01-29,44170919503347.484
1970-01-30,132511262264303.08
1970-01-31,397529298106378.3
1970-02-01,1192574428411592.8
1970-02-02,3577682887968293.5
1970-02-03,1.073292747347384e+16
1970-02-04,3.2198418853233616e+16
1970-02-05,9.65941658704526e+16
1970-02-06,2.897792255805591e+17
1970-02-07,8.693278607601179e+17
1970-02-08,2.607954134668182e+18
1970-02-09,7.823774062165539e+18
1970-02-10,2.3471057163972088e+19
1970-02-11,7.0412376433320034e+19
1970-02-12,2.1123474415110328e+20
1970-02-13,6.336970770875339e+20
1970-02-14,1.9010697654076548e+21
1970-02-15,5.703144899385259e+21
1970-02-16,1.7109241509824032e+22
1970-02-17,5.132714497102094e+22
1970-02-18,1.5397969625734127e+23
1970-02-19,4.619338728637545e+23
1970-02-20,1.385785971043139e+24
1970-02-21,4.1573109710150894e+24
1970-02-22,1.2471792088292399e+25
1970-02-23,3.74149537953889e+25
1970-02-24,1.1224359399201252e+26
1970-02-25,3.367269798365067e+26
1970-02-26,1.0101695332197214e+27
1970-02-27,3.030474381176145e+27
1970-02-28,9.091320489238492e+27
1970-03-01,2.7273653508322964e+28
1970-03-02,8.182003665722316e+28
1970-03-03,2.4545733839972737e+29
1970-03-04,7.3636370057724e+29
1970-03-05,2.2090661581475437e+30
1970-03-06,6.627123644535041e+30
1970-03-07,1.9881146446417138e+31
1970-03-08,5.964276588529173e+31
1970-03-09,1.789262773168088e+32
1970-03-10,5.367727710016641e+32
1970-03-11,1.6103001303640137e+33
1970-03-12,4.830845843785025e+33
1970-03-13,1.449237389128176e+34
1970-03-14,4.347663075916849e+34
1970-03-15,1.304284195501043e+35
1970-03-16,3.912808405179965e+35
1970-03-17,1.1738292673067005e+36
1970-03-18,3.5214480396272095e+36
1970-03-19,1.0564224833349857e+37
1970-03-20,3.1692316647494933e+37
1970-03-21,9.50758763969428e+37
1970-03-22,2.8522440859056767e+38
1970-03-23,8.556635640800154e+38
1970-03-24,2.5669617074922637e+39
1970-03-25,7.700798169215274e+39
1970-03-26,2.310213365080672e+40
1970-03-27,6.930561839073912e+40
1970-03-28,2.0791450751368273e+41
1970-03-29,6.2373647964496895e+41
1970-03-30,1.8711883104852402e+42
