index,index,actual,consensus,country,date,forecast,hour,indicator,period,previous,previous_revised
0,0,52.4,,AU,Friday December 14 2018,,12:00 AM,CommBank Australia Composite PMI Flash,DEC,53.9,
1,1,52.2,,AU,Friday December 14 2018,,12:00 AM,CommBank Australia Services PMI Flash,DEC,53.7,
2,2,53.7,,AU,Friday December 14 2018,,12:00 AM,CommBank Australia Manufacturing PMI Flash,DEC,54.6,
3,3,19,17,JP,Friday December 14 2018,17,01:50 AM,Tankan Large Manufacturers Index,Q4,19,
4,4,14.3%,12.7,JP,Friday December 14 2018,,01:50 AM,Tankan Large All Industry Capex,Q4,13.4,
5,5,20,20,JP,Friday December 14 2018,,01:50 AM,Tankan Non-Manufacturing Outlook,Q4,22,
6,6,15,16,JP,Friday December 14 2018,,01:50 AM,Tankan Large Manufacturing Outlook,Q4,19,
7,7,24,21,JP,Friday December 14 2018,20,01:50 AM,Tankan Large Non-Manufacturing Index,Q4,22,
8,8,14,13,JP,Friday December 14 2018,13,01:50 AM,Tankan Small Manufacturers Index,Q4,14,
9,9,52.4,52.3,JP,Friday December 14 2018,51.9,02:30 AM,Nikkei Manufacturing PMI Flash,DEC,52.2,
10,10,5.9%,5.8%,CN,Friday December 14 2018,5.9%,04:00 AM,Fixed Asset Investment (YTD) YoY,NOV,5.7%,
11,11,5.4%,5.9%,CN,Friday December 14 2018,6%,04:00 AM,Industrial Production YoY,NOV,5.9%,
12,12,8.1%,8.8%,CN,Friday December 14 2018,8.4%,04:00 AM,Retail Sales YoY,NOV,8.6%,
13,13,4.0%,,JP,Friday December 14 2018,,06:30 AM,Capacity Utilization MoM,OCT,-1.5%,
14,14,4.2%,4.2%,JP,Friday December 14 2018,4.2%,06:30 AM,Industrial Production YoY Final,OCT,-2.5%,
15,15,2.9%,2.9%,JP,Friday December 14 2018,2.9%,06:30 AM,Industrial Production MoM Final,OCT,-0.4%,
16,16,0.2%,,DE,Friday December 14 2018,,09:00 AM,Wholesale Prices MoM,NOV,0.3%,
17,17,3.5%,,DE,Friday December 14 2018,,09:00 AM,Wholesale Prices YoY,NOV,4%,
18,18,,,DE,Friday December 14 2018,,09:30 AM,Bundesbank Semi-Annual Forecasts,,,
19,19,1.7%,1.7%,ES,Friday December 14 2018,1.7%,10:00 AM,Harmonised Inflation Rate YoY Final,NOV,2.3%,
20,20,-0.2%,-0.2%,ES,Friday December 14 2018,-0.2%,10:00 AM,Harmonised Inflation Rate MoM Final,NOV,0.7%,
21,21,1.7%,1.7%,ES,Friday December 14 2018,1.7%,10:00 AM,Inflation Rate YoY Final,NOV,2.3%,
22,22,-0.1%,-0.1%,ES,Friday December 14 2018,-0.1%,10:00 AM,Inflation Rate MoM Final,NOV,0.9%,
23,23,49.3,54,FR,Friday December 14 2018,53.8,10:15 AM,Markit Composite PMI Flash,DEC,54.2,
24,24,49.7,50.7,FR,Friday December 14 2018,52.7,10:15 AM,Markit Manufacturing PMI Flash,DEC,50.8,
25,25,49.6,54.8,FR,Friday December 14 2018,54.5,10:15 AM,Markit Services PMI Flash,DEC,55.1,
26,26,52.2,52.5,DE,Friday December 14 2018,52.9,10:30 AM,Markit Composite PMI Flash,DEC,52.3,
27,27,51.5,52,DE,Friday December 14 2018,52.3,10:30 AM,Markit Manufacturing PMI Flash,DEC,51.8,
28,28,52.5,53.4,DE,Friday December 14 2018,53.9,10:30 AM,Markit Services PMI Flash,DEC,53.3,
29,29,51.3,52.8,EA,Friday December 14 2018,52.5,11:00 AM,Markit Composite PMI Flash,DEC,52.7,
30,30,51.4,51.9,EA,Friday December 14 2018,51.9,11:00 AM,Markit Manufacturing PMI Flash,DEC,51.8,
31,31,51.4,53.5,EA,Friday December 14 2018,53.4,11:00 AM,Markit Services PMI Flash,DEC,53.4,
32,32,-0.3%,,IT,Friday December 14 2018,,11:00 AM,Industrial Orders MoM,OCT,-3.1%,Previous revised from -2.9%
33,33,2%,,IT,Friday December 14 2018,,11:00 AM,Industrial Sales YoY,OCT,3.9%,
34,34,-0.5%,,IT,Friday December 14 2018,,11:00 AM,Industrial Sales MoM,OCT,1.3%,Previous revised from 0%
35,35,2%,,IT,Friday December 14 2018,,11:00 AM,Industrial Orders YoY,OCT,-1%,Previous revised from -0.9%
36,36,2.5%,,EA,Friday December 14 2018,2.3%,12:00 PM,Labour Cost Index YoY,Q3,2.3%,Previous revised from 2.2%
37,37,2.4%,,EA,Friday December 14 2018,2%,12:00 PM,Wage Growth YoY,Q3,2.1%,Previous revised from 1.9%
38,38,1.6%,1.7%,IT,Friday December 14 2018,1.7%,12:00 PM,Harmonised Inflation Rate YoY Final,NOV,1.7%,
39,39,-0.3%,-0.2%,IT,Friday December 14 2018,-0.2%,12:00 PM,Harmonised Inflation Rate MoM Final,NOV,0.2%,
40,40,1.6%,1.7%,IT,Friday December 14 2018,1.7%,12:00 PM,Inflation Rate YoY Final,NOV,1.6%,
41,41,-0.2%,-0.1%,IT,Friday December 14 2018,-0.1%,12:00 PM,Inflation Rate MoM Final,NOV,0%,
42,42,,,DE,Friday December 14 2018,,01:00 PM,Bundesbank Balz Speech,,,
43,43,165.6K,,CA,Friday December 14 2018,,03:30 PM,New Motor Vehicle Sales,OCT,178.9K,Previous revised from 177.8K
44,44,,,EA,Friday December 14 2018,,03:30 PM,ECB Angeloni Speech,,,
45,45,0.2%,0.2%,US,Friday December 14 2018,0.3%,03:30 PM,Retail Sales MoM,NOV,1.1%,Previous revised from 0.8%
46,46,4.2%,,US,Friday December 14 2018,4.2%,03:30 PM,Retail Sales YoY,NOV,4.8%,Previous revised from 4.6%
47,47,0.2%,0.2%,US,Friday December 14 2018,0.3%,03:30 PM,Retail Sales Ex Autos MoM,NOV,1%,Previous revised from 0.7%
48,48,0%,0.3%,US,Friday December 14 2018,,04:15 PM,Manufacturing Production MoM,NOV,-0.1%,Previous revised from 0.3%
49,49,78.5%,78.6%,US,Friday December 14 2018,78.2%,04:15 PM,Capacity Utilization,NOV,78.1%,Previous revised from 78.4%
50,50,3.9%,,US,Friday December 14 2018,3.2%,04:15 PM,Industrial Production YoY,NOV,3.8%,Previous revised from 4.1%
51,51,0.6%,0.3%,US,Friday December 14 2018,0.2%,04:15 PM,Industrial Production MoM,NOV,-0.2%,Previous revised from 0.1%
52,52,2%,,US,Friday December 14 2018,2.2%,04:15 PM,Manufacturing Production YoY,NOV,2.2%,Previous revised from 2.7%
53,53,53.6,,US,Friday December 14 2018,54.3,04:45 PM,Markit Composite PMI Flash,DEC,54.7,
