	seqId	date	category	value
0	2378	1993-01-01	2.0	0.07
1	2378	1993-01-22	2.0	0.7268
2	2378	1993-01-23	2.0	1.444
3	2378	1993-01-24	2.0	4.9752
4	2378	1993-01-26	2.0	2.1899
5	2378	1993-01-31	3.0	3.47
7	2378	1993-02-05	2.0	3.0192
8	2378	1993-02-07	0.0	0.9612
9	2378	1993-02-11	2.0	3.1038
10	2378	1993-02-11	3.0	2.52
11	2378	1993-02-20	2.0	1.9136
12	2378	1993-02-20	3.0	3.39
13	2378	1993-02-28	3.0	0.00146
15	2378	1993-03-02	3.0	2.14
16	2378	1993-03-03	2.0	0.7077
17	2378	1993-03-07	0.0	0.9612
18	2378	1993-03-31	3.0	0.00146
20	2378	1993-04-01	3.0	1.35
21	2378	1993-04-07	0.0	0.9612
22	2378	1993-04-19	2.0	2.9841
23	2378	1993-04-22	3.0	0.15
24	2378	1993-04-26	2.0	1.5105
25	2378	1993-04-30	3.0	0.00146
27	2378	1993-05-01	3.0	2.27
28	2378	1993-05-02	2.0	4.2538
29	2378	1993-05-07	0.0	0.9612
30	2378	1993-05-08	2.0	1.3944
31	2378	1993-05-18	2.0	4.1179
32	2378	1993-05-18	3.0	2.57
33	2378	1993-05-19	3.0	5.06
34	2378	1993-05-19	2.0	4.3637
35	2378	1993-05-22	2.0	3.1609
36	2378	1993-05-22	3.0	6.0
37	2378	1993-05-31	3.0	2.45
38	2378	1993-05-31	3.0	0.00146
40	2378	1993-06-07	0.0	0.9612
41	2378	1993-06-17	2.0	4.1935
42	2378	1993-06-30	3.0	2.67
43	2378	1993-06-30	3.0	0.00146
45	2378	1993-07-06	2.0	2.7498
46	2378	1993-07-07	0.0	0.9612
47	2378	1993-07-30	3.0	3.45
48	2378	1993-07-30	3.0	0.54
49	2378	1993-07-30	2.0	2.8392
50	2378	1993-07-31	3.0	0.00146
51	2378	1993-07-31	2.0	3.8524
53	2378	1993-08-07	0.0	0.9612
54	2378	1993-08-10	3.0	0.51
55	2378	1993-08-13	3.0	0.96
56	2378	1993-08-26	3.0	3.27
57	2378	1993-08-26	2.0	4.4359
58	2378	1993-08-29	3.0	3.21
59	2378	1993-08-31	3.0	0.00146
61	2378	1993-09-07	0.0	0.9612
62	2378	1993-09-15	2.0	1.8422
63	2378	1993-09-24	2.0	3.784
64	2378	1993-09-26	3.0	0.885
65	2378	1993-09-28	3.0	3.44
66	2378	1993-09-30	3.0	0.00146
68	2378	1993-10-03	2.0	4.4483
69	2378	1993-10-03	3.0	3.91
70	2378	1993-10-07	0.0	0.9612
71	2378	1993-10-09	2.0	1.4698
72	2378	1993-10-28	3.0	2.2
73	2378	1993-10-31	3.0	0.00146
75	2378	1993-11-07	0.0	0.9612
76	2378	1993-11-13	3.0	1.2501
77	2378	1993-11-27	3.0	0.11
78	2378	1993-11-30	3.0	0.00146
80	2378	1993-12-02	2.0	1.6338
81	2378	1993-12-07	0.0	0.9612
82	2378	1993-12-27	3.0	0.14
83	2378	1993-12-29	3.0	0.51
84	2378	1993-12-30	2.0	3.7306
85	2378	1993-12-31	3.0	0.00146
435	576	1993-01-01	2.0	0.09
436	576	1993-01-11	1.0	0.6207
438	576	1993-02-11	1.0	0.6207
440	576	1993-03-11	1.0	0.6207
442	576	1993-04-11	1.0	0.6207
444	576	1993-05-01	3.0	0.28
445	576	1993-05-11	1.0	0.6207
446	576	1993-05-13	0.0	0.3662
448	576	1993-05-31	3.0	0.13
449	576	1993-05-31	3.0	0.00146
450	576	1993-06-11	1.0	0.6207
451	576	1993-06-13	0.0	0.3662
452	576	1993-06-28	3.0	1.165
454	576	1993-06-30	3.0	0.00146
455	576	1993-07-11	1.0	0.6207
456	576	1993-07-13	0.0	0.3662
457	576	1993-07-16	3.0	0.392
459	576	1993-07-31	3.0	0.00146
460	576	1993-08-11	1.0	0.6207
461	576	1993-08-13	0.0	0.3662
463	576	1993-08-31	3.0	0.00146
464	576	1993-09-11	1.0	0.6207
465	576	1993-09-13	0.0	0.3662
466	576	1993-09-24	3.0	0.192
468	576	1993-09-30	3.0	0.00146
469	576	1993-10-11	1.0	0.6207
470	576	1993-10-13	0.0	0.3662
472	576	1993-10-31	3.0	0.00146
473	576	1993-11-11	1.0	0.6207
474	576	1993-11-13	0.0	0.3662
476	576	1993-11-30	3.0	0.00146
477	576	1993-12-11	1.0	0.6207
478	576	1993-12-13	0.0	0.3662
479	576	1993-12-27	3.0	0.03
480	576	1993-12-28	3.0	0.12
482	576	1993-12-31	3.0	0.00146
793	704	1993-01-01	2.0	0.1
794	704	1993-01-12	2.0	1.7477
796	704	1993-01-31	2.0	0.29
797	704	1993-02-12	2.0	1.7477
799	704	1993-03-02	3.0	0.89
800	704	1993-03-12	2.0	1.7477
802	704	1993-04-01	3.0	1.29
803	704	1993-04-12	2.0	1.7477
805	704	1993-05-01	3.0	1.26
806	704	1993-05-12	2.0	1.7477
808	704	1993-05-31	3.0	0.00146
809	704	1993-05-31	3.0	1.41
810	704	1993-06-07	0.0	0.1197
811	704	1993-06-08	3.0	2.464
812	704	1993-06-09	0.0	0.2141
813	704	1993-06-12	2.0	2.6216
814	704	1993-06-27	3.0	0.18
816	704	1993-06-30	3.0	0.76
817	704	1993-06-30	3.0	0.00146
818	704	1993-07-07	0.0	0.1197
819	704	1993-07-09	0.0	0.2141
820	704	1993-07-12	2.0	1.7477
821	704	1993-07-30	3.0	1.06
823	704	1993-07-31	3.0	0.00146
824	704	1993-08-07	0.0	0.1197
825	704	1993-08-09	0.0	0.2141
826	704	1993-08-12	2.0	1.7477
827	704	1993-08-29	3.0	1.12
829	704	1993-08-31	3.0	0.00146
830	704	1993-09-07	0.0	0.1197
831	704	1993-09-08	3.0	0.156
832	704	1993-09-09	0.0	0.2141
833	704	1993-09-12	2.0	1.7477
834	704	1993-09-28	3.0	1.43
836	704	1993-09-30	3.0	0.00146
837	704	1993-10-07	0.0	0.1197
838	704	1993-10-09	0.0	0.2141
839	704	1993-10-12	2.0	1.7477
840	704	1993-10-28	3.0	1.17
842	704	1993-10-31	3.0	0.00146
843	704	1993-11-07	0.0	0.1197
844	704	1993-11-09	0.0	0.2141
845	704	1993-11-12	2.0	1.7477
846	704	1993-11-27	3.0	1.3
847	704	1993-11-29	3.0	0.072
849	704	1993-11-30	3.0	0.00146
850	704	1993-12-07	0.0	0.1197
851	704	1993-12-08	3.0	0.272
852	704	1993-12-09	0.0	0.2141
853	704	1993-12-12	2.0	2.6216
854	704	1993-12-27	3.0	1.74
856	704	1993-12-31	3.0	0.00146
1272	3818	1993-01-01	2.0	0.06
1273	3818	1993-01-09	2.0	1.7366
1275	3818	1993-01-31	2.0	0.2
1276	3818	1993-02-09	2.0	1.7366
1278	3818	1993-03-02	3.0	0.42
1279	3818	1993-03-09	2.0	1.7366
1281	3818	1993-04-01	3.0	1.47
1282	3818	1993-04-09	2.0	1.7366
1284	3818	1993-05-01	3.0	1.35
1285	3818	1993-05-09	2.0	1.7366
1286	3818	1993-05-09	0.0	0.4065
1287	3818	1993-05-09	0.0	0.3596
1288	3818	1993-05-12	0.0	0.1474
1290	3818	1993-05-31	3.0	0.00146
1291	3818	1993-05-31	3.0	1.15
1292	3818	1993-06-09	0.0	0.4065
1293	3818	1993-06-09	2.0	2.6049
1294	3818	1993-06-09	0.0	0.3596
1295	3818	1993-06-12	0.0	0.1474
1296	3818	1993-06-23	3.0	1.712
1298	3818	1993-06-30	3.0	0.77
1299	3818	1993-06-30	3.0	0.00146
1300	3818	1993-07-09	0.0	0.4065
1301	3818	1993-07-09	0.0	0.3596
1302	3818	1993-07-09	2.0	1.7366
1303	3818	1993-07-12	0.0	0.1474
1304	3818	1993-07-30	3.0	0.43
1306	3818	1993-07-31	3.0	0.00146
1307	3818	1993-08-09	0.0	0.4065
1308	3818	1993-08-09	2.0	1.7366
1309	3818	1993-08-09	0.0	0.3596
1310	3818	1993-08-12	0.0	0.1474
1311	3818	1993-08-29	3.0	0.77
1313	3818	1993-08-31	3.0	0.00146
1314	3818	1993-09-09	0.0	0.4065
1315	3818	1993-09-09	0.0	0.3596
1316	3818	1993-09-09	2.0	1.7366
1317	3818	1993-09-12	0.0	0.1474
1318	3818	1993-09-28	3.0	0.88
1320	3818	1993-09-30	3.0	0.00146
1321	3818	1993-10-03	3.0	0.216
1322	3818	1993-10-09	0.0	0.3596
1323	3818	1993-10-09	0.0	0.4065
1324	3818	1993-10-09	2.0	1.7366
1325	3818	1993-10-12	0.0	0.1474
1326	3818	1993-10-28	3.0	0.53
1328	3818	1993-10-31	3.0	0.00146
1329	3818	1993-11-04	3.0	0.168
1330	3818	1993-11-09	0.0	0.3596
1331	3818	1993-11-09	0.0	0.4065
1332	3818	1993-11-09	2.0	1.7366
1333	3818	1993-11-12	0.0	0.1474
1334	3818	1993-11-27	3.0	0.61
1336	3818	1993-11-30	3.0	0.00146
1337	3818	1993-12-09	0.0	0.4065
1338	3818	1993-12-09	0.0	0.3596
1339	3818	1993-12-09	2.0	2.6049
1340	3818	1993-12-12	0.0	0.1474
1341	3818	1993-12-12	3.0	0.208
1342	3818	1993-12-27	3.0	1.25
1344	3818	1993-12-31	3.0	0.00146
1832	1972	1993-01-02	2.0	0.04
1833	1972	1993-01-07	1.0	0.5298
1835	1972	1993-02-07	1.0	0.5298
1837	1972	1993-03-07	1.0	0.5298
1839	1972	1993-04-07	1.0	0.5298
1841	1972	1993-05-07	1.0	0.5298
1842	1972	1993-05-09	0.0	0.2736
1843	1972	1993-05-31	3.0	0.00146
1845	1972	1993-06-07	1.0	0.5298
1846	1972	1993-06-07	3.0	0.595
1847	1972	1993-06-09	0.0	0.2736
1848	1972	1993-06-30	3.0	0.00146
1850	1972	1993-07-01	3.0	0.01
1851	1972	1993-07-07	1.0	0.5298
1852	1972	1993-07-09	0.0	0.2736
1853	1972	1993-07-28	3.0	0.272
1854	1972	1993-07-31	3.0	0.00146
1856	1972	1993-08-07	1.0	0.5298
1857	1972	1993-08-09	0.0	0.2736
1858	1972	1993-08-31	3.0	0.00146
1860	1972	1993-09-07	1.0	0.5298
1861	1972	1993-09-09	0.0	0.2736
1862	1972	1993-09-30	3.0	0.00146
1864	1972	1993-10-07	1.0	0.5298
1865	1972	1993-10-09	0.0	0.2736
1866	1972	1993-10-29	3.0	0.22
1867	1972	1993-10-31	3.0	0.00146
1869	1972	1993-11-07	1.0	0.5298
1870	1972	1993-11-09	0.0	0.2736
1871	1972	1993-11-28	3.0	0.14
1872	1972	1993-11-30	3.0	0.00146
1874	1972	1993-12-07	1.0	0.5298
1875	1972	1993-12-09	0.0	0.2736
1876	1972	1993-12-18	3.0	0.09
1877	1972	1993-12-31	3.0	0.00146
2201	2632	1993-01-02	2.0	0.11
2202	2632	1993-01-09	2.0	1.4264
2204	2632	1993-02-01	2.0	0.51
2205	2632	1993-02-09	2.0	1.4264
2207	2632	1993-03-03	3.0	0.69
2208	2632	1993-03-09	2.0	1.4264
2210	2632	1993-04-02	3.0	0.91
2211	2632	1993-04-09	2.0	1.4264
2213	2632	1993-05-02	3.0	1.35
2214	2632	1993-05-09	2.0	1.4264
2215	2632	1993-05-10	0.0	0.2042
2217	2632	1993-05-31	3.0	0.00146
2218	2632	1993-06-01	3.0	0.31
2219	2632	1993-06-01	3.0	1.33
2220	2632	1993-06-06	0.0	0.23
2221	2632	1993-06-08	0.0	0.0041
2222	2632	1993-06-09	2.0	2.1396
2223	2632	1993-06-10	0.0	0.2042
2224	2632	1993-06-21	3.0	0.25
2226	2632	1993-06-30	3.0	0.00146
2227	2632	1993-07-01	3.0	0.17
2228	2632	1993-07-01	3.0	0.77
2229	2632	1993-07-06	0.0	0.23
2230	2632	1993-07-08	0.0	0.0041
2231	2632	1993-07-09	2.0	1.4264
2232	2632	1993-07-10	0.0	0.2042
2233	2632	1993-07-18	3.0	0.27
2235	2632	1993-07-31	3.0	0.00146
2236	2632	1993-07-31	3.0	1.07
2237	2632	1993-08-06	0.0	0.23
2238	2632	1993-08-08	0.0	0.0041
2239	2632	1993-08-09	2.0	1.4264
2240	2632	1993-08-10	0.0	0.2042
2241	2632	1993-08-30	3.0	0.43
2242	2632	1993-08-30	3.0	0.77
2244	2632	1993-08-31	3.0	0.00146
2245	2632	1993-09-06	0.0	0.23
2246	2632	1993-09-08	0.0	0.0041
2247	2632	1993-09-09	2.0	1.4264
2248	2632	1993-09-10	0.0	0.2042
2249	2632	1993-09-29	3.0	0.88
2251	2632	1993-09-30	3.0	0.00146
2252	2632	1993-10-06	0.0	0.23
2253	2632	1993-10-08	0.0	0.0041
2254	2632	1993-10-09	2.0	1.4264
2255	2632	1993-10-10	0.0	0.2042
2256	2632	1993-10-29	3.0	0.79
2258	2632	1993-10-31	3.0	0.00146
2259	2632	1993-11-06	0.0	0.23
2260	2632	1993-11-08	0.0	0.0041
2261	2632	1993-11-09	2.0	1.4264
2262	2632	1993-11-10	0.0	0.2042
2263	2632	1993-11-28	3.0	0.76
2265	2632	1993-11-30	3.0	0.00146
2266	2632	1993-12-06	0.0	0.23
2267	2632	1993-12-08	0.0	0.0041
2268	2632	1993-12-08	3.0	0.06
2269	2632	1993-12-09	2.0	2.1396
2270	2632	1993-12-10	0.0	0.2042
2271	2632	1993-12-18	3.0	0.25
2272	2632	1993-12-28	3.0	1.14
2274	2632	1993-12-31	3.0	0.00146
2765	1539	1993-01-03	2.0	0.06
2766	1539	1993-02-02	2.0	1.19
2767	1539	1993-02-11	2.0	4.3737
2769	1539	1993-03-04	3.0	1.34
2771	1539	1993-04-03	3.0	1.02
2772	1539	1993-04-13	2.0	3.2327
2774	1539	1993-05-03	3.0	2.1
2775	1539	1993-05-11	2.0	2.4439
2776	1539	1993-05-20	2.0	1.1411
2777	1539	1993-05-24	2.0	0.5912
2778	1539	1993-05-26	3.0	1.9356
2779	1539	1993-05-28	3.0	0.84
2780	1539	1993-05-31	3.0	0.01
2782	1539	1993-06-02	3.0	1.98
2783	1539	1993-06-05	3.0	0.53
2784	1539	1993-06-08	3.0	1.05
2785	1539	1993-06-21	2.0	1.1446
2786	1539	1993-06-30	3.0	0.01
2788	1539	1993-07-02	3.0	0.47
2789	1539	1993-07-03	3.0	0.7
2790	1539	1993-07-06	3.0	0.94
2791	1539	1993-07-09	2.0	1.4458
2792	1539	1993-07-16	2.0	1.4234
2793	1539	1993-07-27	3.0	0.67
2794	1539	1993-07-31	3.0	0.01
2796	1539	1993-08-01	3.0	0.81
2797	1539	1993-08-08	3.0	0.57
2798	1539	1993-08-30	3.0	0.68
2799	1539	1993-08-31	3.0	0.01
2800	1539	1993-08-31	3.0	0.12
2802	1539	1993-09-07	3.0	0.78
2803	1539	1993-09-27	3.0	0.65
2804	1539	1993-09-30	2.0	0.92
2805	1539	1993-09-30	3.0	0.01
2806	1539	1993-09-30	3.0	0.93
2807	1539	1993-09-30	3.0	7e-05
2809	1539	1993-10-30	2.0	1.15
2810	1539	1993-10-31	3.0	0.01
2812	1539	1993-10-31	3.0	0.0006
2813	1539	1993-11-01	3.0	0.98
2814	1539	1993-11-11	3.0	0.49
2815	1539	1993-11-29	2.0	1.33
2816	1539	1993-11-30	3.0	0.01
2818	1539	1993-11-30	3.0	0.00234
2819	1539	1993-12-02	3.0	0.91
2820	1539	1993-12-15	3.0	0.55
2821	1539	1993-12-29	2.0	1.37
2822	1539	1993-12-31	3.0	0.01
2824	1539	1993-12-31	3.0	0.00239
3217	2484	1993-01-03	2.0	0.11
3218	2484	1993-01-12	2.0	1.4779
3220	2484	1993-02-02	2.0	0.55
3221	2484	1993-02-12	2.0	1.4779
3223	2484	1993-03-04	3.0	0.81
3224	2484	1993-03-12	2.0	1.4779
3226	2484	1993-04-03	3.0	0.83
3227	2484	1993-04-12	2.0	1.4779
3229	2484	1993-05-03	3.0	1.25
3230	2484	1993-05-12	2.0	1.4779
3231	2484	1993-05-14	0.0	0.0599
3232	2484	1993-05-31	3.0	0.00146
3234	2484	1993-06-02	3.0	1.33
3235	2484	1993-06-05	0.0	0.0538
3236	2484	1993-06-08	0.0	0.2343
3237	2484	1993-06-08	3.0	1.184
3238	2484	1993-06-11	0.0	0.139
3239	2484	1993-06-12	2.0	2.2168
3240	2484	1993-06-14	0.0	0.0599
3241	2484	1993-06-30	3.0	0.00146
3243	2484	1993-07-02	3.0	0.76
3244	2484	1993-07-05	0.0	0.0538
3245	2484	1993-07-08	0.0	0.2343
3246	2484	1993-07-11	0.0	0.139
3247	2484	1993-07-12	2.0	1.4779
3248	2484	1993-07-14	0.0	0.0599
3249	2484	1993-07-29	3.0	0.084
3250	2484	1993-07-31	3.0	0.00146
3252	2484	1993-08-01	3.0	1.23
3253	2484	1993-08-05	0.0	0.0538
3254	2484	1993-08-08	0.0	0.2343
3255	2484	1993-08-11	0.0	0.139
3256	2484	1993-08-12	2.0	1.4779
3257	2484	1993-08-14	0.0	0.0599
3258	2484	1993-08-31	3.0	0.91
3259	2484	1993-08-31	3.0	0.00146
3261	2484	1993-09-05	0.0	0.0538
3262	2484	1993-09-08	0.0	0.2343
3263	2484	1993-09-11	0.0	0.139
3264	2484	1993-09-12	3.0	0.252
3265	2484	1993-09-12	3.0	0.144
3266	2484	1993-09-12	2.0	1.4779
3267	2484	1993-09-14	0.0	0.0599
3268	2484	1993-09-30	3.0	0.61
3269	2484	1993-09-30	3.0	0.00146
3271	2484	1993-10-05	0.0	0.0538
3272	2484	1993-10-08	0.0	0.2343
3273	2484	1993-10-11	0.0	0.139
3274	2484	1993-10-12	2.0	1.4779
3275	2484	1993-10-14	0.0	0.0599
3276	2484	1993-10-23	3.0	0.216
3277	2484	1993-10-30	3.0	0.69
3278	2484	1993-10-31	3.0	0.00146
3280	2484	1993-11-05	0.0	0.0538
3281	2484	1993-11-08	0.0	0.2343
3282	2484	1993-11-11	0.0	0.139
3283	2484	1993-11-12	2.0	1.4779
3284	2484	1993-11-14	0.0	0.0599
3285	2484	1993-11-29	3.0	0.95
3286	2484	1993-11-30	3.0	0.00146
3288	2484	1993-12-05	0.0	0.0538
3289	2484	1993-12-08	0.0	0.2343
3290	2484	1993-12-11	0.0	0.139
3291	2484	1993-12-12	2.0	2.2168
3292	2484	1993-12-14	0.0	0.0599
3293	2484	1993-12-29	3.0	1.61
3294	2484	1993-12-30	3.0	0.4
3295	2484	1993-12-31	3.0	0.00146
3825	1695	1993-01-03	2.0	0.02
3826	1695	1993-01-08	2.0	1.1832
3828	1695	1993-02-02	2.0	0.75
3830	1695	1993-03-04	2.0	0.52
3832	1695	1993-04-03	2.0	0.05
3834	1695	1993-05-03	2.0	0.09
3836	1695	1993-06-02	3.0	0.11
3838	1695	1993-07-02	3.0	0.04
3840	1695	1993-08-01	2.0	0.03
3842	1695	1993-08-31	3.0	0.01
3844	1695	1993-09-30	3.0	0.29
3845	1695	1993-10-30	2.0	0.11
3847	1695	1993-11-29	2.0	0.06
